latitude,longitude,time
-37.7964,145.9781,1130.0
-37.6924,145.9836,1197.0
-37.8137,145.9891,1119.0
-37.8354,145.9891,1207.0
-37.8656,145.9891,1153.0
-37.7401,145.9947,1136.0
-37.7964,145.9947,1221.0
-37.8483,145.9947,1130.0
-37.2953,146.0002,1032.0
-37.3698,146.0002,1207.0
-37.5837,146.0002,1019.0
-36.7473,146.0057,4.0
-37.8354,146.0057,1137.0
-37.675,146.0112,1134.0
-37.7705,146.0112,1169.0
-37.9993,146.0112,969.0
-37.3785,146.0167,1063.0
-37.6011,146.0167,1019.0
-37.6316,146.0167,1002.0
-37.8483,146.0167,1149.0
-37.8656,146.0167,1150.0
-36.7428,146.0222,6.0
-37.2909,146.0222,1185.0
-37.3435,146.0222,987.0
-37.5402,146.0222,1009.0
-37.6577,146.0222,984.0
-37.7098,146.0222,1020.0
-37.939,146.0222,1162.0
-37.6967,146.0278,1006.0
-37.7445,146.0278,1092.0
-37.8959,146.0278,1175.0
-37.3172,146.0333,1045.0
-37.675,146.0333,1024.0
-37.7878,146.0333,1151.0
-37.995,146.0333,961.0
-37.3523,146.0388,977.0
-37.3785,146.0388,982.0
-37.6055,146.0388,983.0
-37.8829,146.0388,1079.0
-37.2426,146.0443,1117.0
-37.6577,146.0443,936.0
-37.6403,146.0498,987.0
-37.7314,146.0498,981.0
-37.7921,146.0498,1125.0
-37.1986,146.0553,977.0
-37.2206,146.0553,993.0
-37.5707,146.0553,1006.0
-37.8699,146.0553,1125.0
-37.2645,146.0608,1011.0
-37.326,146.0608,1019.0
-37.6577,146.0608,1005.0
-37.6837,146.0608,1012.0
-37.7445,146.0608,1215.0
-38.0552,146.0608,942.0
-37.247,146.0664,1039.0
-37.4616,146.0664,936.0
-37.5184,146.0664,995.0
-37.8181,146.0664,1097.0
-37.9692,146.0664,1148.0
-37.4092,146.0719,1043.0
-37.9347,146.0719,1105.0
-38.0552,146.0719,1121.0
-37.2777,146.0774,987.0
-37.7358,146.0774,1152.0
-37.4834,146.0829,1152.0
-37.5053,146.0829,1028.0
-37.5794,146.0829,1004.0
-37.7228,146.0829,1063.0
-37.7488,146.0884,1153.0
-37.7834,146.0884,1019.0
-37.2118,146.0939,1066.0
-37.3873,146.0939,1071.0
-37.5445,146.0939,999.0
-37.5576,146.0939,1033.0
-37.9304,146.0939,1163.0
-37.6142,146.0994,986.0
-37.7445,146.0994,1121.0
-37.8829,146.0994,1080.0
-37.3391,146.105,1045.0
-37.466,146.105,995.0
-37.675,146.105,1024.0
-37.8959,146.105,1139.0
-37.9088,146.105,1142.0
-37.2206,146.1105,1062.0
-37.5532,146.1105,1056.0
-37.3742,146.116,1073.0
-37.466,146.116,1001.0
-37.5271,146.116,998.0
-37.7401,146.116,1151.0
-37.9519,146.116,1091.0
-37.9864,146.116,1173.0
-37.2953,146.1215,1040.0
-37.5009,146.1215,1006.0
-37.995,146.1215,1148.0
-37.3303,146.127,1036.0
-37.4529,146.127,1022.0
-37.514,146.127,990.0
-37.6142,146.127,1010.0
-37.6403,146.127,1154.0
-37.7834,146.127,1135.0
-37.2514,146.1325,1038.0
-37.2777,146.1325,1065.0
-37.9218,146.1325,1153.0
-37.9347,146.1325,1139.0
-37.3084,146.138,1067.0
-37.5619,146.138,1054.0
-37.5053,146.1436,995.0
-37.8613,146.1436,1112.0
-37.9476,146.1436,1146.0
-37.3435,146.1491,1029.0
-37.4267,146.1491,931.0
-37.4441,146.1491,1033.0
-37.5445,146.1491,1042.0
-37.6794,146.1491,981.0
-37.831,146.1491,1148.0
-37.995,146.1491,1144.0
-37.4965,146.1546,1036.0
-37.5707,146.1546,1054.0
-37.6229,146.1546,1169.0
-37.8613,146.1546,1146.0
-37.2865,146.1601,994.0
-37.4441,146.1601,1051.0
-37.9649,146.1601,1156.0
-38.0165,146.1601,1121.0
-37.5271,146.1656,1052.0
-37.5619,146.1656,1053.0
