latitude,longitude,time
-36.5151,146.6675,434.0
-36.533,146.6675,437.0
-36.5465,146.6675,405.0
-36.7206,146.6675,420.0
-36.3401,146.673,436.0
-36.7339,146.673,427.0
-36.7606,146.673,1247.0
-37.1282,146.673,1331.0
-37.1854,146.6785,1360.0
-37.3172,146.6785,1365.0
-37.1017,146.684,1359.0
-36.3895,146.6895,446.0
-37.2338,146.6895,1338.0
-37.6837,146.6895,1319.0
-37.7054,146.6895,191.0
-37.7314,146.6895,1352.0
-37.9519,146.6895,122.0
-36.542,146.695,436.0
-36.6626,146.695,438.0
-36.7161,146.695,79.0
-36.7651,146.695,379.0
-36.7784,146.695,338.0
-37.2074,146.695,1341.0
-37.3084,146.695,1235.0
-36.412,146.7006,467.0
-36.4524,146.7006,410.0
-36.5151,146.7006,264.0
-37.2426,146.7006,256.0
-36.4389,146.7061,410.0
-37.1458,146.7061,1328.0
-37.2997,146.7061,45.0
-37.7748,146.7061,149.0
-36.6938,146.7116,430.0
-36.774,146.7116,107.0
-37.2074,146.7116,270.0
-36.5465,146.7171,435.0
-36.7117,146.7171,334.0
-37.137,146.7171,1372.0
-36.3176,146.7226,444.0
-36.3581,146.7226,286.0
-36.6671,146.7226,436.0
-36.8007,146.7226,297.0
-36.4434,146.7281,479.0
-36.6269,146.7281,428.0
-36.9426,146.7281,1232.0
-37.2074,146.7281,1353.0
-37.4791,146.7281,1264.0
-37.7791,146.7281,187.0
-37.8613,146.7281,1341.0
-36.6001,146.7336,395.0
-36.9825,146.7336,1303.0
-37.4616,146.7336,1228.0
-37.6142,146.7336,207.0
-37.8224,146.7336,11.0
-36.2996,146.7392,1198.0
-36.4883,146.7392,384.0
-36.533,146.7392,411.0
-36.5688,146.7392,436.0
-36.6492,146.7392,432.0
-36.6938,146.7392,432.0
-36.7873,146.7392,238.0
-37.7184,146.7392,164.0
-36.6269,146.7447,409.0
-36.9338,146.7447,279.0
-37.225,146.7447,318.0
-36.5465,146.7502,395.0
-36.5778,146.7502,427.0
-36.7072,146.7502,93.0
-36.7295,146.7502,157.0
-36.8717,146.7502,387.0
-36.9205,146.7502,1216.0
-37.0311,146.7502,1160.0
-37.8699,146.7502,1355.0
-36.4927,146.7557,440.0
-36.3761,146.7612,218.0
-36.4703,146.7612,414.0
-36.9426,146.7612,1224.0
-37.2733,146.7612,1362.0
-37.4048,146.7612,1284.0
-36.2816,146.7667,389.0
-36.5509,146.7667,1089.0
-36.6894,146.7667,296.0
-36.6448,146.7722,298.0
-36.8406,146.7722,356.0
-37.2162,146.7722,1147.0
-36.4614,146.7778,353.0
-36.7161,146.7778,274.0
-36.7695,146.7778,246.0
-37.115,146.7778,307.0
-37.3172,146.7778,1355.0
-36.7428,146.7833,1196.0
-36.7873,146.7833,163.0
-36.8096,146.7833,1047.0
-37.1017,146.7833,297.0
-36.5107,146.7888,431.0
-36.8584,146.7888,331.0
-36.9515,146.7888,1193.0
-36.774,146.7943,1112.0
-36.8318,146.7943,299.0
-36.8762,146.7943,353.0
-36.2365,146.7998,365.0
-36.2906,146.7998,482.0
-36.3851,146.7998,421.0
-36.6805,146.7998,346.0
-36.7428,146.8053,362.0
-36.8806,146.8053,387.0
-36.5957,146.8109,339.0
-36.6626,146.8109,87.0
-36.9471,146.8109,207.0
-37.2162,146.8109,1183.0
-37.4441,146.8109,1280.0
-36.774,146.8164,1100.0
-36.8451,146.8164,407.0
-36.9736,146.8164,138.0
-37.675,146.8164,127.0
-37.7314,146.8164,190.0
-36.25,146.8219,425.0
-36.4344,146.8219,158.0
-36.725,146.8219,1186.0
-36.8673,146.8219,128.0
-37.1898,146.8274,1168.0
-36.2185,146.8329,440.0
-36.5241,146.8329,301.0
-36.5912,146.8329,1113.0
-36.8406,146.8329,1190.0
-36.7829,146.8384,1200.0
-36.8273,146.8384,357.0
-37.181,146.8384,1157.0
-37.6707,146.8384,238.0
-36.3041,146.8439,344.0
-36.6135,146.8439,1080.0
-36.7918,146.8439,1068.0
-37.6533,146.8439,48.0
-36.5286,146.8495,399.0
-36.8096,146.8495,364.0
-36.9471,146.8495,390.0
-36.1959,146.855,369.0
-36.2185,146.855,430.0
-36.2906,146.855,396.0
-36.7606,146.855,1110.0
-36.1823,146.8605,398.0
-36.3851,146.8605,402.0
-36.4165,146.8605,240.0
-36.5599,146.8605,297.0
-36.4344,146.866,369.0
-36.533,146.866,403.0
-36.6269,146.866,1097.0
-36.9293,146.866,339.0
-37.1854,146.866,67.0
-37.7141,146.866,223.0
-36.6626,146.8715,380.0
-36.7339,146.8715,840.0
-36.814,146.8715,49.0
-36.4703,146.877,1092.0
-36.7695,146.877,385.0
-36.7829,146.877,105.0
-36.8451,146.877,321.0
-36.2275,146.8881,433.0
-36.814,146.8881,1037.0
-36.9869,146.8881,250.0
-37.6011,146.8881,222.0
-37.7228,146.8881,125.0
-36.1823,146.8936,344.0
-36.1959,146.8936,377.0
-36.5241,146.8936,1120.0
-36.8939,146.8936,266.0
-36.9692,146.8936,334.0
-36.542,146.8991,1098.0
-36.5599,146.8991,439.0
-36.676,146.8991,1101.0
-36.9515,146.8991,329.0
-37.2162,146.8991,220.0
-36.5957,146.9046,1105.0
-36.6225,146.9046,439.0
-36.8229,146.9046,386.0
-36.9869,146.9046,342.0
-37.7488,146.9046,80.0
-36.2004,146.9101,235.0
-36.2455,146.9101,398.0
-36.4075,146.9101,335.0
-36.2275,146.9156,421.0
-36.2681,146.9156,420.0
-36.8051,146.9156,353.0
-36.9736,146.9156,248.0
-36.2951,146.9211,435.0
-36.3131,146.9211,416.0
-36.3671,146.9211,402.0
-36.394,146.9211,342.0
-36.4569,146.9211,387.0
-36.4972,146.9211,374.0
-36.6358,146.9211,410.0
-37.7271,146.9211,45.0
-36.2545,146.9267,406.0
-36.3446,146.9267,370.0
-36.676,146.9267,1126.0
-36.9426,146.9267,350.0
-37.1898,146.9267,288.0
-36.2049,146.9322,394.0
-36.223,146.9322,397.0
-36.241,146.9322,415.0
-36.3311,146.9322,400.0
-36.7562,146.9322,365.0
