Strike ID,Latitude,Longitude,Spawn time (hr),Inspection time (hr),Suppression time (hr)
177,-37.222,146.351667,5.909272574999999,1.9569497584345925,N/A
178,-37.4929,146.351667,6.31805735,1.860939498440434,N/A
179,-36.7531,146.3567019,6.98695533,1.8283729393642099,N/A
180,-37.125,146.3567019,5.749028113333334,2.003439418969012,N/A
181,-37.408,146.3567019,6.171676505,1.8794665468848597,N/A
182,-36.7854,146.3617367,6.51310081,1.8553040839861146,N/A
183,-36.8461,146.3617367,7.112214536666666,1.7001990344511675,N/A
184,-37.1412,146.3617367,4.872564608333334,0.35420313855836666,N/A
185,-37.3756,146.3617367,6.451359411666667,1.6950805281381367,N/A
186,-37.0684,146.3667715,6.19047322,1.7360849502100417,N/A
187,-37.3271,146.3667715,3.8492287333333333,1.081204124476298,N/A
188,-37.6343,146.3667715,5.589011255,1.3188677333399281,N/A
189,-36.745,146.3718064,6.278767731666667,1.7444534436410424,N/A
190,-36.7693,146.3718064,6.666016916666666,1.7426113391504279,N/A
191,-36.931,146.3718064,5.8313247,2.0392071894916355,N/A
192,-37.505,146.3718064,5.998886823333334,1.7596345672355982,N/A
193,-37.5737,146.3718064,6.3804018283333335,1.904700369634423,N/A
194,-36.8784,146.3768412,6.537384856666668,1.821574024035394,N/A
195,-36.9229,146.3768412,6.727482545,1.8042639102615996,N/A
196,-36.8905,146.381876,6.559357263333333,1.8329508477044822,N/A
197,-37.0765,146.381876,6.269503183333333,1.7108003993515972,N/A
198,-36.7814,146.3869109,7.228815776666666,1.60372402818956,N/A
199,-37.125,146.3869109,6.345020933333333,1.8252225711196894,N/A
200,-37.4161,146.3869109,6.187431821666666,1.8832523836112522,N/A
201,-37.5009,146.3869109,4.302852023333333,0.5703157703925823,N/A
202,-37.5818,146.3869109,6.464830450000001,1.8558463298856926,N/A
203,-37.5939,146.3869109,6.39992839,1.9148499237788221,N/A
204,-37.6101,146.3869109,6.476431113333334,1.8762063119550072,N/A
205,-36.8137,146.3919457,7.257226094999999,1.579385353265254,N/A
206,-37.5656,146.3919457,6.341054505,1.9196696082077607,N/A
207,-37.6263,146.3919457,5.396454738333333,1.4694255239046188,N/A
208,-36.842,146.3969805,6.327264716666666,1.662700246868731,N/A
209,-36.8784,146.3969805,5.960195636666667,1.9654850680860414,N/A
210,-36.9471,146.3969805,7.122363405,1.6000919573855905,N/A
211,-37.0361,146.3969805,6.452859175,1.8343914455755315,N/A
212,-37.2139,146.3969805,5.752656638333334,1.8976586660517447,N/A
213,-37.5899,146.3969805,3.5463653166666664,0.9703291745906664,N/A
214,-36.8258,146.4020154,5.91136054,1.9474670708774535,N/A
215,-37.0482,146.4020154,5.7743990499999995,2.0328650184702473,N/A
216,-37.1048,146.4020154,6.082882401666667,1.8381841163049184,N/A
217,-37.125,146.4020154,5.7743541,1.979105539308725,N/A
218,-37.222,146.4020154,4.004964341666667,0.8999613427108226,N/A
219,-37.4444,146.4020154,6.901711148333334,1.5827225027981189,N/A
220,-36.7935,146.4070502,6.964405608333333,1.8250907207223048,N/A
221,-36.8582,146.4070502,6.509971336666666,1.735364561083468,N/A
222,-37.0765,146.4070502,6.368918871666667,1.8618071146480704,N/A
223,-37.0886,146.4070502,3.694977178333333,0.9696005590590954,N/A
224,-37.1695,146.4070502,5.977635646666666,1.8748243288233315,N/A
225,-37.2341,146.4070502,3.9511989416666666,0.9203850132957596,N/A
226,-37.3756,146.4070502,5.76653122,1.7277960500692886,N/A
