Strike ID,Latitude,Longitude,Spawn time (hr),Inspection time (hr),Suppression time (hr)
53,-36.939,146.0646815,6.3134624766666665,1.9835823412058886,N/A
54,-36.8703,146.0697163,6.788058688333334,1.0566290788989612,N/A
55,-36.7895,146.0747512,6.659978016666666,1.4664793055703083,N/A
56,-37.2139,146.0747512,6.524441958333333,1.837841492274181,N/A
57,-36.7571,146.0848208,7.229867128333333,1.1064933191117223,N/A
58,-36.8097,146.0848208,6.2667712700000004,1.8145668408041324,N/A
59,-36.9229,146.0848208,6.753442485,1.4546606201351249,N/A
60,-36.9471,146.0848208,7.270415754999999,0.962051558179717,N/A
61,-37.2261,146.0898557,5.933659826666666,1.2378875422126738,N/A
62,-36.7288,146.0948905,7.230482126666667,1.0507148041444876,N/A
63,-36.8461,146.0948905,6.0589554183333325,1.6817494997955136,N/A
64,-36.8784,146.0948905,6.603310835,1.1963148219204442,N/A
65,-36.8299,146.1049602,6.480624051666666,1.550237659416787,N/A
66,-36.7369,146.109995,7.20591393,1.0395624116714175,N/A
67,-36.842,146.1150298,6.478169575000001,1.224113431796197,N/A
68,-36.9592,146.1200647,7.053575056666666,1.0068720770816728,N/A
69,-37.2665,146.1250995,6.522320775000001,1.65358464563988,N/A
70,-36.9107,146.1301343,7.047222115,1.0942059598011746,N/A
71,-37.5495,146.1301343,6.067087895,1.4943180314647886,N/A
72,-36.7531,146.1351692,6.759564149999999,1.4354004361231223,N/A
73,-36.741,146.140204,7.210619851666667,0.9509925128240836,N/A
74,-37.3069,146.140204,6.47572645,1.6283734117558046,N/A
75,-37.5292,146.140204,4.04623671,0.6575954969460832,N/A
76,-36.8905,146.1452388,6.669648903333333,1.2547578491747997,N/A
77,-36.9633,146.1452388,5.863966659999999,1.4804728774329083,N/A
78,-36.7531,146.1502737,7.307292548333334,0.8186276769623368,N/A
79,-36.8663,146.1553085,6.232857933333333,1.1491447007646527,N/A
80,-37.5373,146.1603433,6.162923046666666,1.2419901743504893,N/A
81,-36.8016,146.1653782,7.061394941666666,1.1372542125258245,N/A
82,-36.9512,146.1653782,7.342025405,0.6532433580364159,N/A
83,-37.2463,146.1653782,6.380693721666667,1.8614482519672957,N/A
84,-36.741,146.170413,7.279242845,0.8036250090353173,N/A
85,-37.4767,146.170413,6.989949755,1.0713541351962097,N/A
86,-37.2341,146.1754478,5.155504626666667,0.15607460537954365,N/A
87,-37.4565,146.1754478,6.079231269999999,1.3350751386981918,N/A
88,-36.9431,146.1855175,6.750532416666667,1.4033900607570406,N/A
89,-37.5333,146.1855175,6.6498846333333335,0.711728255981152,N/A
90,-36.842,146.1955872,6.34309217,1.2581868150490088,N/A
91,-36.8582,146.1955872,7.030690015,1.0414716037592715,N/A
92,-37.1169,146.1955872,4.26118151,0.3335795074607202,N/A
93,-37.2341,146.1955872,6.099972825,0.9442833591090928,N/A
94,-37.319,146.1955872,4.732320921666667,0.11536602614108536,N/A
95,-37.2544,146.200622,6.195292996666667,1.296997868037956,N/A
96,-36.8824,146.2056568,6.462746626666667,1.3808953683453515,N/A
